description,priority
Gas leak reported near stadium,High
Exposed live electric wire near temple road,High
Blocked drainage causing foul smell at factory gate,Medium
Park benches broken at residential street,Low
Park benches broken at playground,Low
Posters defacing public property at community hall,Low
Improper street sweeping at office area,Low
Encroachment by vendors at school gate,Low
Posters defacing public property at main road,Low
Public toilet unhygienic at flyover,Low
Stray animals loitering at shopping mall,Low
Graffiti on walls near residential street,Low
Improper street sweeping at main road,Low
Streetlight not working near factory gate,Medium
Power line down after storm near stadium,High
Encroachment by vendors at bus stop,Low
Flooded underpass at riverbank blocking traffic,High
Flooded underpass at office area blocking traffic,High
Minor cracks on road at stadium,Low
Sewage overflowing on riverbank street,High
Public toilet unhygienic at community hall,Low
Improper street sweeping at stadium,Low
Blocked drainage causing foul smell at bus stop,Medium
Stray animals loitering at factory gate,Low
Noise pollution from vehicles at railway station,Medium
Dim lights making park unsafe at railway station,Low
Illegal parking near underpass,Medium
Broken sidewalk at office area,Medium
Stray animals loitering at railway station,Low
Power line down after storm near riverbank,High
Traffic signal malfunctioning at flyover,Medium
Noise pollution from vehicles at office area,Medium
Graffiti on walls near slum area,Low
Traffic signal malfunctioning at highway,Medium
Contaminated water supply reported at railway station,High
Sewage overflowing on temple road street,High
Exposed live electric wire near residential street,High
Major pothole on office area causing accidents,High
Major pothole on factory gate causing accidents,High
Water leakage from pipe at playground,Medium
Water leakage from pipe at highway,Medium
Rickshaw stand creating congestion at slum area,Medium
Street vendors occupying footpath at playground,Low
Power line down after storm near highway,High
Illegal parking near hospital entrance,Medium
Flooded underpass at underpass blocking traffic,High
Illegal parking near stadium,Medium
Broken sidewalk at underpass,Medium
Water leakage from pipe at temple road,Medium
Rickshaw stand creating congestion at stadium,Medium
Exposed live electric wire near bus stop,High
Posters defacing public property at bus stop,Low
Collapsed footbridge at flyover,High
Sewage overflowing on slum area street,High
Sewage overflowing on underpass street,High
Improper street sweeping at highway,Low
Overflowing garbage bins at main road,Medium
Improper street sweeping at temple road,Low
Blocked drainage causing foul smell at hospital entrance,Medium
Stray animals loitering at bus stop,Low
Overflowing garbage bins at stadium,Medium
Dim lights making park unsafe at college campus,Low
Dust from construction at playground,Medium
Gas leak reported near playground,High
Sewage overflowing on underpass street,High
Collapsed footbridge at shopping mall,High
Traffic signal malfunctioning at temple road,Medium
Public toilet unhygienic at community hall,Low
Collapsed footbridge at riverbank,High
Exposed live electric wire near shopping mall,High
Stray animals loitering at college campus,Low
Rickshaw stand creating congestion at market,Medium
Flooded underpass at bus stop blocking traffic,High
Sewage overflowing on highway street,High
Dust from construction at railway station,Medium
Graffiti on walls near slum area,Low
Overflowing garbage bins at flyover,Medium
Water leakage from pipe at underpass,Medium
Graffiti on walls near shopping mall,Low
Overflowing garbage bins at temple road,Medium
Dim lights making park unsafe at college campus,Low
Overflowing garbage bins at school gate,Medium
Gas leak reported near community hall,High
Graffiti on walls near bus stop,Low
Sewage overflowing on railway station street,High
Street vendors occupying footpath at factory gate,Low
Public toilet unhygienic at residential street,Low
Encroachment by vendors at college campus,Low
Street vendors occupying footpath at temple road,Low
Dim lights making park unsafe at stadium,Low
Minor cracks on road at slum area,Low
Posters defacing public property at office area,Low
Gas leak reported near highway,High
Minor cracks on road at shopping mall,Low
Broken sidewalk at bus stop,Medium
Park benches broken at community hall,Low
Overflowing garbage bins at slum area,Medium
Noise pollution from vehicles at shopping mall,Medium
Water leakage from pipe at factory gate,Medium
Blocked drainage causing foul smell at railway station,Medium
Exposed live electric wire near highway,High
Street vendors occupying footpath at market,Low
Sewage overflowing on market street,High
Noise pollution from vehicles at school gate,Medium
Rickshaw stand creating congestion at underpass,Medium
Rickshaw stand creating congestion at office area,Medium
Public toilet unhygienic at bus stop,Low
Overflowing garbage bins at market,Medium
Minor cracks on road at college campus,Low
Blocked drainage causing foul smell at stadium,Medium
Rickshaw stand creating congestion at underpass,Medium
Traffic signal malfunctioning at flyover,Medium
Streetlight not working near underpass,Medium
Rickshaw stand creating congestion at residential street,Medium
Park benches broken at main road,Low
Encroachment by vendors at riverbank,Low
Blocked drainage causing foul smell at underpass,Medium
Water leakage from pipe at underpass,Medium
Posters defacing public property at riverbank,Low
Gas leak reported near office area,High
Streetlight not working near market,Medium
Posters defacing public property at market,Low
Posters defacing public property at main road,Low
Posters defacing public property at railway station,Low
Rickshaw stand creating congestion at bus stop,Medium
Open manhole at shopping mall posing danger,High
Contaminated water supply reported at college campus,High
Improper street sweeping at riverbank,Low
Noise pollution from vehicles at playground,Medium
Minor cracks on road at riverbank,Low
Stray animals loitering at community hall,Low
Park benches broken at school gate,Low
Dim lights making park unsafe at school gate,Low
Traffic signal malfunctioning at school gate,Medium
Streetlight not working near community hall,Medium
Illegal parking near flyover,Medium
Encroachment by vendors at slum area,Low
Major pothole on bus stop causing accidents,High
Improper street sweeping at flyover,Low
Park benches broken at community hall,Low
Park benches broken at highway,Low
Street vendors occupying footpath at shopping mall,Low
Major pothole on flyover causing accidents,High
Overflowing garbage bins at riverbank,Medium
Stray animals loitering at temple road,Low
Posters defacing public property at hospital entrance,Low
Park benches broken at college campus,Low
Overflowing garbage bins at college campus,Medium
Water leakage from pipe at bus stop,Medium
Major pothole on highway causing accidents,High
Collapsed footbridge at hospital entrance,High
Encroachment by vendors at school gate,Low
Noise pollution from vehicles at hospital entrance,Medium
Fire hazard due to garbage burning at market,High
Dust from construction at shopping mall,Medium
Open manhole at school gate posing danger,High
Noise pollution from vehicles at slum area,Medium
Illegal parking near playground,Medium
Streetlight not working near factory gate,Medium
Illegal parking near college campus,Medium
Noise pollution from vehicles at market,Medium
Fire hazard due to garbage burning at stadium,High
Streetlight not working near railway station,Medium
Park benches broken at shopping mall,Low
Dim lights making park unsafe at bus stop,Low
Sewage overflowing on playground street,High
Contaminated water supply reported at highway,High
Dust from construction at highway,Medium
Contaminated water supply reported at college campus,High
Blocked drainage causing foul smell at riverbank,Medium
Streetlight not working near factory gate,Medium
Illegal parking near stadium,Medium
Blocked drainage causing foul smell at riverbank,Medium
Open manhole at shopping mall posing danger,High
Water leakage from pipe at underpass,Medium
Public toilet unhygienic at railway station,Low
Noise pollution from vehicles at stadium,Medium
Stray animals loitering at flyover,Low
Street vendors occupying footpath at underpass,Low
Street vendors occupying footpath at market,Low
Dust from construction at market,Medium
Illegal parking near community hall,Medium
Exposed live electric wire near stadium,High
Contaminated water supply reported at flyover,High
Broken sidewalk at flyover,Medium
Graffiti on walls near playground,Low
Broken sidewalk at factory gate,Medium
Encroachment by vendors at riverbank,Low
Dust from construction at railway station,Medium
Streetlight not working near community hall,Medium
Major pothole on school gate causing accidents,High
Overflowing garbage bins at playground,Medium
Overflowing garbage bins at market,Medium
Flooded underpass at railway station blocking traffic,High
Blocked drainage causing foul smell at slum area,Medium
Blocked drainage causing foul smell at slum area,Medium
Stray animals loitering at stadium,Low
Streetlight not working near underpass,Medium
Dust from construction at school gate,Medium
